Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Omega_ref(rad/s)
7601, 33981455, 33981979, 1.72753882, 1.58140659, 3.76190186, 0.98079723
7602, 33982455, 33982979, 1.73101497, 1.58522129, 3.79364777, 0.28846979
7603, 33983455, 33983981, 1.73443818, 1.58903599, 3.79364777, 0.17308187
7604, 33984455, 33984977, 1.73780799, 1.59323215, 3.79364777, 0.40385768
7605, 33985455, 33985977, 1.74112308, 1.59704781, 3.76190186, 0.51924562
7606, 33986455, 33986983, 1.74438238, 1.60048103, 3.79364777, 0.63463354
7607, 33987455, 33987976, 1.74758351, 1.60429573, 3.79364777, 0.63463354
7608, 33988455, 33988982, 1.75072479, 1.60811043, 3.79364777, 0.51924562
7609, 33989455, 33989992, 1.75380480, 1.61230659, 3.79364777, 0.40385768
7610, 33990455, 33990982, 1.75682282, 1.61573982, 3.79364777, 0.28846979
7611, 33991455, 33991978, 1.75977719, 1.61993599, 3.79364777, 0.86540931
7612, 33992455, 33992985, 1.76266658, 1.62336922, 3.79364777, 0.51924562
7613, 33993455, 33993981, 1.76548946, 1.62718391, 3.82539368, 0.28846979
7614, 33994455, 33994977, 1.76824462, 1.63099861, 3.79364777, 0.17308187
7615, 33995455, 33995977, 1.77093065, 1.63481331, 3.79364777, 0.28846979
7616, 33996455, 33996979, 1.77354646, 1.63824654, 3.76190186, 0.40385768
7617, 33997455, 33997979, 1.77609086, 1.64206123, 3.76190186, 0.40385768
7618, 33998455, 33998980, 1.77856183, 1.64587593, 3.76190186, 0.40385768
7619, 33999455, 33999990, 1.78095806, 1.64969063, 3.73015594, 0.63463354
7620, 34000455, 34000980, 1.78327751, 1.65312386, 3.69841003, 0.28846979
7621, 34001455, 34001980, 1.78551793, 1.65693951, 3.69841003, 0.40385768
7622, 34002455, 34002984, 1.78767812, 1.66075420, 3.66666412, 0.17308187
7623, 34003455, 34003984, 1.78975642, 1.66380596, 3.66666412, 0.17308187
7624, 34004455, 34004981, 1.79175186, 1.66762066, 3.63491821, -0.05769395
7625, 34005455, 34005977, 1.79366219, 1.67105389, 3.63491821, 0.17308187
7626, 34006455, 34006979, 1.79548573, 1.67448711, 3.60317230, 0.17308187
7627, 34007455, 34007991, 1.79722142, 1.67830181, 3.57142639, 0.05769395
7628, 34008455, 34008979, 1.79886770, 1.68173504, 3.73015594, 0.17308187
7629, 34009455, 34009981, 1.80042279, 1.68516827, 3.53968048, -0.17308187
7630, 34010455, 34010984, 1.80188501, 1.68860149, 3.47618866, -0.17308187
7631, 34011455, 34011982, 1.80325234, 1.69165325, 3.44444275, -0.05769395
7632, 34012455, 34012980, 1.80452371, 1.69508648, 3.44444275, 0.05769395
7633, 34013455, 34013978, 1.80569768, 1.69851971, 3.41269684, -0.05769395
7634, 34014455, 34014978, 1.80677319, 1.70118999, 3.34920502, 0.17308187
7635, 34015455, 34015982, 1.80774951, 1.70424175, 3.31745911, -0.40385768
7636, 34016455, 34016977, 1.80862558, 1.70729351, 3.09523773, 0.05769395
7637, 34017455, 34017979, 1.80940139, 1.71034527, 3.19047546, 0.05769395
7638, 34018455, 34018977, 1.81007659, 1.71339703, 3.19047546, 0.05769395
7639, 34019455, 34019989, 1.81065083, 1.71644878, 3.12698364, 0.05769395
7640, 34020455, 34020989, 1.81112480, 1.71950150, 3.25396729, 0.17308187
7641, 34021455, 34021985, 1.81149971, 1.72255325, 3.06349182, -0.17308187
7642, 34022455, 34022992, 1.81177533, 1.72522354, 3.00000000, -0.17308187
7643, 34023455, 34023984, 1.81195235, 1.72789383, 2.93650818, -0.05769395
7644, 34024455, 34024984, 1.81203282, 1.73056412, 2.90476227, -0.28846979
7645, 34025455, 34025980, 1.81201744, 1.73323441, 2.84127045, -0.51924562
7646, 34026455, 34026984, 1.81190670, 1.73590469, 2.80952454, -0.17308187
7647, 34027455, 34027985, 1.81170106, 1.73857498, 2.93650818, -0.17308187
7648, 34028455, 34028981, 1.81140137, 1.74086380, 2.58730316, -0.17308187
7649, 34029455, 34029983, 1.81100833, 1.74315262, 2.61904907, -0.28846979
7650, 34030455, 34030987, 1.81052327, 1.74544144, 2.58730316, -0.05769395
7651, 34031455, 34031981, 1.80994689, 1.74811172, 2.55555725, 0.17308187
7652, 34032455, 34032984, 1.80927944, 1.75001907, 2.49206543, -0.28846979
7653, 34033455, 34033984, 1.80852282, 1.75230789, 2.46031952, -0.05769395
7654, 34034455, 34034982, 1.80767882, 1.75459671, 2.36508179, -0.28846979
7655, 34035455, 34035986, 1.80674875, 1.75650406, 2.14286041, -0.17308187
7656, 34036455, 34036988, 1.80573380, 1.75879288, 2.20635223, -0.17308187
7657, 34037455, 34037984, 1.80463564, 1.76031876, 2.17460632, -0.17308187
7658, 34038455, 34038985, 1.80345678, 1.76222610, 2.11111450, -0.51924562
7659, 34039455, 34039981, 1.80219936, 1.76413345, 2.07936859, -0.28846979
7660, 34040455, 34040985, 1.80086601, 1.76565933, 2.01587677, -0.51924562
7661, 34041455, 34041983, 1.79945970, 1.76756668, 1.92063141, -0.17308187
7662, 34042455, 34042983, 1.79798210, 1.76871109, 1.85713959, -0.51924562
7663, 34043455, 34043989, 1.79643691, 1.77061844, 1.79364777, -0.86540931
7664, 34044455, 34044986, 1.79482830, 1.77176285, 1.73015594, -0.63463354
7665, 34045455, 34045984, 1.79315841, 1.77290726, 1.63491821, -0.51924562
7666, 34046455, 34046982, 1.79142952, 1.77443314, 1.57142639, -0.63463354
7667, 34047455, 34047986, 1.78964472, 1.77519608, 1.47618866, -0.75002146
7668, 34048455, 34048980, 1.78780699, 1.77634048, 1.38095093, -0.63463354
7669, 34049455, 34049982, 1.78591895, 1.77748489, 1.28571320, -0.40385768
7670, 34050455, 34050981, 1.78398287, 1.77786636, 1.22222137, -0.51924562
7671, 34051455, 34051981, 1.78200126, 1.77862930, 1.09523773, -0.40385768
7672, 34052455, 34052981, 1.77997720, 1.77901077, 1.00000000, -0.51924562
7673, 34053455, 34053981, 1.77791309, 1.77977371, 0.87301636, -0.51924562
7674, 34054455, 34054979, 1.77581048, 1.78015518, 0.80952454, -0.28846979
7675, 34055455, 34055980, 1.77367055, 1.78053665, 0.68254089, -0.28846979
7676, 34056455, 34056982, 1.77149439, 1.78053665, 0.58730316, -0.17308187
7677, 34057455, 34057982, 1.76928353, 1.78053665, 0.49206543, -0.28846979
7678, 34058455, 34058980, 1.76703811, 1.78091812, 0.39682770, -0.51924562
7679, 34059455, 34059978, 1.76475942, 1.78053665, 0.33333588, -0.51924562
7680, 34060455, 34060980, 1.76244855, 1.78053665, 0.20635223, -0.63463354
7681, 34061455, 34061979, 1.76010513, 1.78015518, 0.14286041, -0.63463354
7682, 34062455, 34062981, 1.75772917, 1.78015518, 0.04762268, -0.51924562
7683, 34063455, 34063983, 1.75532150, 1.77977371, -0.01587677, -0.17308187
7684, 34064455, 34064979, 1.75288212, 1.77939224, -0.11111450, -0.40385768
7685, 34065455, 34065979, 1.75041211, 1.77862930, -0.14286041, -0.51924562
7686, 34066455, 34066978, 1.74791229, 1.77824783, -0.23809814, -0.51924562
7687, 34067455, 34067980, 1.74538183, 1.77786636, -0.30158997, -0.51924562
7688, 34068455, 34068980, 1.74281967, 1.77748489, -0.36508179, -0.40385768
7689, 34069455, 34069976, 1.74022567, 1.77672195, -0.39682770, -0.51924562
7690, 34070455, 34070980, 1.73760080, 1.77595901, -0.46031952, -0.51924562
7691, 34071455, 34071978, 1.73494506, 1.77519608, -0.52381134, -0.40385768
7692, 34072455, 34072979, 1.73225856, 1.77405167, -0.61904907, -0.40385768
7693, 34073455, 34073979, 1.72954142, 1.77290726, -0.68254089, -0.28846979
7694, 34074455, 34074975, 1.72679389, 1.77176285, -0.74603271, -0.28846979
7695, 34075455, 34075977, 1.72401619, 1.77099991, -0.80952454, -0.40385768
7696, 34076455, 34076977, 1.72120833, 1.76947403, -0.87301636, -0.28846979
7697, 34077455, 34077976, 1.71836984, 1.76832962, -0.96825409, -0.51924562
7698, 34078455, 34078980, 1.71550000, 1.76718521, -1.03174591, -0.75002146
7699, 34079455, 34079978, 1.71259856, 1.76604080, -1.09523773, -0.40385768
7700, 34080455, 34080974, 1.70966518, 1.76489639, -1.12698364, -0.28846979
7701, 34081455, 34081978, 1.70669985, 1.76337051, -1.19047546, -0.17308187
7702, 34082455, 34082980, 1.70370209, 1.76184464, -1.19047546, -0.17308187
7703, 34083455, 34083979, 1.70067132, 1.76070023, -1.25396729, -0.17308187
7704, 34084455, 34084979, 1.69760633, 1.75879288, -1.31745911, -0.17308187
7705, 34085455, 34085981, 1.69450617, 1.75764847, -1.34920502, -0.17308187
7706, 34086455, 34086989, 1.69137049, 1.75574112, -1.38095093, -0.28846979
7707, 34087455, 34087975, 1.68819940, 1.75459671, -1.41269684, -0.17308187
7708, 34088455, 34088977, 1.68499231, 1.75268936, -1.47618866, 0.17308187
7709, 34089455, 34089988, 1.68174922, 1.75116348, -1.50793839, -0.28846979
7710, 34090455, 34090986, 1.67847049, 1.74925613, -1.57143021, -0.28846979
7711, 34091455, 34091986, 1.67515600, 1.74773026, -1.60317612, 0.05769395
7712, 34092455, 34092976, 1.67180502, 1.74544144, -1.63492203, -0.05769395
7713, 34093455, 34093974, 1.66841722, 1.74391556, -1.69841385, -0.17308187
7714, 34094455, 34094975, 1.66499233, 1.74238968, -1.73015976, -0.17308187
7715, 34095455, 34095973, 1.66153085, 1.74010086, -1.79365158, -0.05769395
7716, 34096455, 34096973, 1.65803277, 1.73819351, -1.79365158, -0.17308187
7717, 34097455, 34097971, 1.65449858, 1.73628616, -1.82539749, -0.28846979
7718, 34098455, 34098983, 1.65092850, 1.73437881, -1.88888931, -0.75002146
7719, 34099455, 34099983, 1.64732218, 1.73247147, -1.88888931, -0.17308187
7720, 34100455, 34100974, 1.64367938, 1.73018265, -1.92063522, -0.17308187
7721, 34101455, 34101988, 1.64000058, 1.72827530, -1.95238113, -0.17308187
7722, 34102455, 34102990, 1.63628697, 1.72560501, -2.01587296, -0.05769395
7723, 34103455, 34103988, 1.63253844, 1.72369766, -2.01587296, -0.28846979
7724, 34104455, 34104986, 1.62875521, 1.72140884, -2.07936478, -0.05769395
7725, 34105455, 34105985, 1.62493777, 1.71950150, -2.11111069, -0.05769395
7726, 34106455, 34106983, 1.62108660, 1.71683025, -2.14285660, -0.05769395
7727, 34107455, 34107983, 1.61720240, 1.71454144, -2.20634842, -0.28846979
7728, 34108455, 34108985, 1.61328495, 1.71225262, -2.23809433, -0.17308187
7729, 34109455, 34109987, 1.60933435, 1.70996380, -2.23809433, -0.05769395
7730, 34110455, 34110985, 1.60535133, 1.70729351, -2.26984024, -0.17308187
7731, 34111455, 34111982, 1.60133505, 1.70500469, -2.33333206, -0.28846979
7732, 34112455, 34112982, 1.59728563, 1.70271587, -2.33333206, -0.17308187
7733, 34113455, 34113984, 1.59320247, 1.70004559, -2.39682388, -0.17308187
7734, 34114455, 34114984, 1.58908510, 1.69775677, -2.39682388, -0.17308187
7735, 34115455, 34115982, 1.58493316, 1.69508648, -2.46031570, -0.17308187
7736, 34116455, 34116982, 1.58074617, 1.69203472, -2.49206161, -0.17308187
7737, 34117455, 34117981, 1.57652390, 1.68936443, -2.49206161, -0.17308187
7738, 34118455, 34118985, 1.57226610, 1.68669415, -2.55555725, 0.05769395
7739, 34119455, 34119987, 1.56797218, 1.68402386, -2.58730316, -0.05769395
7740, 34120455, 34120981, 1.56364083, 1.68135357, -2.61904907, 0.05769395
7741, 34121455, 34121977, 1.55927122, 1.67868328, -2.65079498, -0.28846979
7742, 34122455, 34122984, 1.55486321, 1.67563152, -2.71428680, -0.17308187
7743, 34123455, 34123982, 1.55041575, 1.67296124, -2.74603271, -0.17308187
7744, 34124455, 34124980, 1.54592741, 1.66952801, -2.80952454, -0.40385768
7745, 34125455, 34125978, 1.54139709, 1.66647625, -2.84127045, -0.40385768
7746, 34126455, 34126982, 1.53682303, 1.66380596, -2.87301636, 0.05769395
7747, 34127455, 34127980, 1.53220367, 1.66075420, -2.90476227, -0.28846979
7748, 34128455, 34128993, 1.52753818, 1.65770245, -2.93650818, -0.28846979
7749, 34129455, 34129985, 1.52282512, 1.65464973, -2.96825409, -0.17308187
7750, 34130455, 34130981, 1.51806414, 1.65121651, -3.00000000, -0.28846979
7751, 34131455, 34131993, 1.51325405, 1.64816475, -3.03174591, 0.05769395
7752, 34132455, 34132993, 1.50839329, 1.64511299, -3.06349182, -0.17308187
7753, 34133455, 34133985, 1.50348210, 1.64167976, -3.09523773, -0.28846979
7754, 34134455, 34134986, 1.49852014, 1.63824654, -3.15872955, -0.28846979
7755, 34135455, 34135988, 1.49350619, 1.63519478, -3.19047546, -0.75002146
7756, 34136455, 34136988, 1.48843896, 1.63176155, -3.22222137, -0.17308187
7757, 34137455, 34137984, 1.48331809, 1.62832832, -3.28571320, -0.17308187
7758, 34138455, 34138982, 1.47814214, 1.62527657, -3.28571320, -0.28846979
7759, 34139455, 34139983, 1.47291064, 1.62146187, -3.31745911, -0.17308187
7760, 34140455, 34140981, 1.46762383, 1.61802864, -3.34920502, -0.28846979
7761, 34141455, 34141987, 1.46228194, 1.61421394, -3.41269684, -0.17308187
7762, 34142455, 34142983, 1.45688570, 1.61039925, -3.47618866, -0.28846979
7763, 34143455, 34143989, 1.45143509, 1.60696602, -3.50793839, 0.05769395
7764, 34144455, 34144987, 1.44592953, 1.60353279, -3.53968430, -0.28846979
7765, 34145455, 34145988, 1.44036877, 1.59971809, -3.60317612, -0.28846979
7766, 34146455, 34146986, 1.43475354, 1.59552193, -3.63492203, -0.40385768
7767, 34147455, 34147978, 1.42908442, 1.59170628, -3.69841385, -0.40385768
7768, 34148455, 34148984, 1.42336166, 1.58789158, -3.73015976, -0.28846979
7769, 34149455, 34149978, 1.41758585, 1.58407688, -3.76190567, -0.28846979
7770, 34150455, 34150985, 1.41175783, 1.58026218, -3.79365158, -0.17308187
7771, 34151455, 34151989, 1.40587914, 1.57606602, -3.82539749, -0.40385768
7772, 34152455, 34152987, 1.39995110, 1.57186985, -3.88888931, -0.40385768
7773, 34153455, 34153987, 1.39397502, 1.56767368, -3.92063522, -0.40385768
7774, 34154455, 34154985, 1.38795328, 1.56385899, -3.98412704, -0.40385768
7775, 34155455, 34155979, 1.38188720, 1.55928135, -4.01587296, -0.40385768
7776, 34156455, 34156990, 1.37577856, 1.55470371, -4.07936478, -0.28846979
7777, 34157455, 34157984, 1.36962962, 1.55050755, -4.11111069, -0.17308187
7778, 34158455, 34158982, 1.36344254, 1.54631138, -4.17460251, -0.28846979
7779, 34159455, 34159984, 1.35721827, 1.54173374, -4.23809433, -0.17308187
7780, 34160455, 34160982, 1.35095847, 1.53753757, -4.26984024, -0.17308187
7781, 34161455, 34161976, 1.34466684, 1.53295994, -4.30158615, -0.28846979
7782, 34162455, 34162977, 1.33834600, 1.52838135, -4.36507797, -0.40385768
7783, 34163455, 34163983, 1.33199847, 1.52380371, -4.42856979, -0.17308187
7784, 34164455, 34164975, 1.32562697, 1.51922607, -4.46031570, -0.40385768
7785, 34165455, 34165983, 1.31923306, 1.51464844, -4.52381134, 0.05769395
7786, 34166455, 34166991, 1.31281924, 1.50968933, -4.55555725, -0.17308187
7787, 34167455, 34167982, 1.30638969, 1.50473022, -4.58730316, -0.05769395
7788, 34168455, 34168976, 1.29994786, 1.50015259, -4.61904907, -0.40385768
7789, 34169455, 34169974, 1.29349780, 1.49557495, -4.65079498, -0.28846979
7790, 34170455, 34170974, 1.28704226, 1.49061584, -4.68254089, -0.28846979
7791, 34171455, 34171976, 1.28058410, 1.48565674, -4.74603271, -0.17308187
7792, 34172455, 34172976, 1.27412641, 1.48031616, -4.77777863, -0.05769395
7793, 34173455, 34173981, 1.26767266, 1.47535706, -4.87301636, -0.05769395
7794, 34174455, 34174987, 1.26122677, 1.47039795, -4.90476227, -0.17308187
7795, 34175455, 34175985, 1.25479162, 1.46543789, -4.96825409, -0.51924562
7796, 34176455, 34176983, 1.24837124, 1.46009731, -5.00000000, -0.28846979
7797, 34177455, 34177987, 1.24197125, 1.45475674, -5.06349182, -0.05769395
7798, 34178455, 34178984, 1.23559594, 1.44941616, -5.09523773, 0.28846979
7799, 34179455, 34179982, 1.22924936, 1.44445705, -5.09523773, 0.05769395
7800, 34180455, 34180982, 1.22293580, 1.43949795, -5.12698364, -0.28846979
7801, 34181455, 34181986, 1.21665907, 1.43377590, -5.12698364, -0.51924562
7802, 34182455, 34182984, 1.21042204, 1.42881680, -5.15872955, -0.63463354
7803, 34183455, 34183982, 1.20422876, 1.42385769, -5.15872955, -0.28846979
7804, 34184455, 34184979, 1.19808412, 1.41851711, -5.19047546, 0.40385768
7805, 34185455, 34185985, 1.19199431, 1.41279507, -5.19047546, -0.05769395
7806, 34186455, 34186985, 1.18596625, 1.40745449, -5.22222137, -0.17308187
7807, 34187455, 34187979, 1.18000805, 1.40173149, -5.28571320, -0.40385768
7808, 34188455, 34188981, 1.17412949, 1.39639091, -5.31745911, -0.51924562
7809, 34189455, 34189985, 1.16834283, 1.39105034, -5.34920502, -0.17308187
7810, 34190455, 34190986, 1.16266191, 1.38532829, -5.38095093, -0.05769395
7811, 34191455, 34191982, 1.15710151, 1.37998772, -5.41269684, -0.05769395
7812, 34192455, 34192982, 1.15167665, 1.37464714, -5.44444275, 0.05769395
7813, 34193455, 34193984, 1.14640701, 1.36930656, -5.44444275, -0.17308187
7814, 34194455, 34194978, 1.14131474, 1.36358452, -5.47618866, -0.40385768
7815, 34195455, 34195985, 1.13642478, 1.35824394, -5.50793839, -0.17308187
7816, 34196455, 34196985, 1.13176310, 1.35290337, -5.50793839, -0.17308187
7817, 34197455, 34197981, 1.12735760, 1.34718132, -5.50793839, -0.05769395
7818, 34198455, 34198981, 1.12323976, 1.34183979, -5.50793839, 0.05769395
7819, 34199455, 34199977, 1.11944091, 1.33611774, -5.53968430, -0.51924562
7820, 34200455, 34200979, 1.11599529, 1.33001423, -5.53968430, -0.28846979
7821, 34201455, 34201986, 1.11293638, 1.32467365, -5.57143021, -0.17308187
7822, 34202455, 34202986, 1.11029816, 1.31895161, -5.60317612, 0.05769395
7823, 34203455, 34203984, 1.10811293, 1.31361103, -5.60317612, 0.28846979
7824, 34204455, 34204982, 1.10641634, 1.30788898, -5.60317612, 0.05769395
7825, 34205455, 34205980, 1.10524535, 1.30216694, -5.60317612, -0.05769395
7826, 34206455, 34206979, 1.10463679, 1.29682636, -5.63492203, -0.17308187
7827, 34207455, 34207979, 1.10462677, 1.29148579, -5.63492203, 0.05769395
7828, 34208455, 34208981, 1.10524893, 1.28614521, -5.60317612, 0.28846979
7829, 34209455, 34209979, 1.10653305, 1.28004074, -5.57143021, 0.63463354
7830, 34210455, 34210979, 1.10849154, 1.27470016, -5.53968430, 1.21157312
7831, 34211455, 34211979, 1.11111093, 1.26935959, -5.53968430, 1.21157312
7832, 34212455, 34212980, 1.11435425, 1.26440048, -5.50793839, 0.98079723
7833, 34213455, 34213978, 1.11815858, 1.25867844, -5.50793839, 1.55773675
7834, 34214455, 34214978, 1.12244451, 1.25410080, -5.41269684, 2.25006437
7835, 34215455, 34215980, 1.12711751, 1.24952316, -5.34920502, 1.78851259
7836, 34216455, 34216980, 1.13208377, 1.24456406, -5.28571320, 1.90390050
7837, 34217455, 34217979, 1.13725960, 1.23998642, -5.15872955, 2.48084021
7838, 34218455, 34218975, 1.14257634, 1.23579025, -5.03174591, 2.59622812
7839, 34219455, 34219975, 1.14797926, 1.23197556, -4.84127045, 2.01928854
7840, 34220455, 34220975, 1.15342557, 1.22854233, -4.68254089, 2.13467646
7841, 34221455, 34221975, 1.15888417, 1.22472763, -4.46031570, 2.59622812
7842, 34222455, 34222979, 1.16433263, 1.22167587, -4.30158615, 3.17316747
7843, 34223455, 34223976, 1.16975892, 1.21862316, -4.04761887, 2.59622812
7844, 34224455, 34224976, 1.17515779, 1.21557140, -3.82539749, 2.59622812
7845, 34225455, 34225976, 1.18052816, 1.21328259, -3.60317612, 2.25006437
7846, 34226455, 34226976, 1.18587112, 1.21099377, -3.34920502, 2.59622812
7847, 34227455, 34227976, 1.19118977, 1.20870495, -3.12698364, 2.71161604
7848, 34228455, 34228972, 1.19648862, 1.20717907, -2.90476227, 2.48084021
7849, 34229455, 34229975, 1.20177329, 1.20565319, -2.65079498, 2.71161604
7850, 34230455, 34230973, 1.20704913, 1.20450878, -2.39682388, 2.59622812
7851, 34231455, 34231973, 1.21232116, 1.20336437, -2.17460251, 2.13467646
7852, 34232455, 34232979, 1.21759748, 1.20221996, -1.92063522, 2.13467646
7853, 34233455, 34233973, 1.22288537, 1.20145702, -1.69841385, 1.90390050
7854, 34234455, 34234973, 1.22818875, 1.20107555, -1.44444275, 1.67312467
7855, 34235455, 34235974, 1.23350918, 1.20107555, -1.22222137, 1.44234896
7856, 34236455, 34236978, 1.23884666, 1.20107555, -1.00000000, 1.67312467
7857, 34237455, 34237992, 1.24419975, 1.20107555, -0.77777863, 1.67312467
7858, 34238455, 34238988, 1.24956572, 1.20145702, -0.58730316, 1.78851259
7859, 34239455, 34239974, 1.25494182, 1.20183849, -0.36508179, 1.09618521
7860, 34240455, 34240975, 1.26032603, 1.20260143, -0.17460632, 1.67312467
7861, 34241455, 34241985, 1.26571453, 1.20336437, 0.01587677, 1.21157312
7862, 34242455, 34242971, 1.27110517, 1.20450878, 0.17460632, 1.67312467
7863, 34243455, 34243985, 1.27649546, 1.20527172, 0.33333588, 1.78851259
7864, 34244455, 34244971, 1.28188348, 1.20641613, 0.52381134, 1.78851259
7865, 34245455, 34245988, 1.28726947, 1.20756054, 0.65079498, 1.90390050
7866, 34246455, 34246984, 1.29265511, 1.20908642, 0.80952454, 1.78851259
7867, 34247455, 34247984, 1.29804313, 1.21099377, 0.96825409, 1.90390050
7868, 34248455, 34248984, 1.30343807, 1.21251965, 1.09523773, 1.55773675
7869, 34249455, 34249976, 1.30884576, 1.21442699, 1.22222137, 1.67312467
7870, 34250455, 34250988, 1.31427336, 1.21633434, 1.38095093, 1.90390050
7871, 34251455, 34251985, 1.31972849, 1.21862316, 1.50793457, 1.67312467
7872, 34252455, 34252985, 1.32521915, 1.22053146, 1.60317230, 1.67312467
7873, 34253455, 34253969, 1.33075273, 1.22243881, 1.73015594, 1.55773675
7874, 34254455, 34254983, 1.33633661, 1.22510910, 1.85713959, 1.55773675
7875, 34255455, 34255987, 1.34197700, 1.22777939, 1.95237732, 1.21157312
7876, 34256455, 34256985, 1.34767771, 1.23006821, 2.07936859, 0.98079723
7877, 34257455, 34257984, 1.35344040, 1.23273849, 2.17460632, 1.44234896
7878, 34258455, 34258982, 1.35926509, 1.23540878, 2.26984406, 1.09618521
7879, 34259455, 34259984, 1.36514997, 1.23884201, 2.49206543, 1.32696104
7880, 34260455, 34260988, 1.37109292, 1.24151230, 2.52381134, 1.55773675
7881, 34261455, 34261984, 1.37709069, 1.24456406, 2.61904907, 1.55773675
7882, 34262455, 34262981, 1.38313806, 1.24761581, 2.71428680, 1.32696104
7883, 34263455, 34263981, 1.38922846, 1.25104904, 2.80952454, 1.55773675
7884, 34264455, 34264983, 1.39535606, 1.25448227, 2.90476227, 1.44234896
7885, 34265455, 34265983, 1.40151393, 1.25791550, 3.00000000, 1.21157312
7886, 34266455, 34266981, 1.40769529, 1.26096725, 3.09523773, 1.09618521
7887, 34267455, 34267979, 1.41389358, 1.26478195, 3.09523773, 0.86540931
7888, 34268455, 34268986, 1.42010355, 1.26859665, 3.25396729, 0.98079723
7889, 34269455, 34269984, 1.42631924, 1.27241135, 3.38095093, 1.09618521
7890, 34270455, 34270982, 1.43253529, 1.27660751, 3.47618866, 1.21157312
7891, 34271455, 34271980, 1.43874753, 1.28004074, 3.57142639, 0.98079723
7892, 34272455, 34272978, 1.44495332, 1.28423786, 3.66666412, 1.55773675
7893, 34273455, 34273978, 1.45115077, 1.28843403, 3.76190186, 1.21157312
7894, 34274455, 34274981, 1.45733845, 1.29263020, 3.85713959, 1.21157312
7895, 34275455, 34275979, 1.46351492, 1.29682636, 3.92063141, 0.86540931
7896, 34276455, 34276981, 1.46967995, 1.30140400, 3.98412323, 1.21157312
7897, 34277455, 34277979, 1.47583354, 1.30521870, 4.04762268, 1.21157312
7898, 34278455, 34278979, 1.48197603, 1.30979633, 4.11111450, 1.21157312
7899, 34279455, 34279982, 1.48810709, 1.31399250, 4.17460632, 1.21157312
7900, 34280455, 34280980, 1.49422562, 1.31895161, 4.23809814, 0.86540931
7901, 34281455, 34281984, 1.50033104, 1.32352924, 4.30158997, 0.86540931
7902, 34282455, 34282982, 1.50642359, 1.32810688, 4.33333588, 0.75002146
7903, 34283455, 34283978, 1.51250315, 1.33306599, 4.42857361, 0.75002146
7904, 34284455, 34284978, 1.51856792, 1.33764362, 4.46031952, 0.63463354
7905, 34285455, 34285983, 1.52461636, 1.34222126, 4.55555725, 0.86540931
7906, 34286455, 34286979, 1.53064728, 1.34756279, 4.61904907, 0.98079723
7907, 34287455, 34287977, 1.53665853, 1.35214043, 4.65079498, 1.21157312
7908, 34288455, 34288983, 1.54264843, 1.35709953, 4.71428680, 0.86540931
7909, 34289455, 34289981, 1.54861522, 1.36205864, 4.77777863, 0.75002146
7910, 34290455, 34290984, 1.55455804, 1.36701775, 4.80952454, 0.51924562
7911, 34291455, 34291978, 1.56047487, 1.37197685, 4.87301636, 0.63463354
7912, 34292455, 34292982, 1.56636393, 1.37693596, 4.90476227, 0.75002146
7913, 34293455, 34293982, 1.57222295, 1.38189507, 5.09523773, 0.98079723
7914, 34294455, 34294980, 1.57805002, 1.38723564, 4.96825409, 0.63463354
7915, 34295455, 34295978, 1.58384442, 1.39219475, 5.00000000, 0.51924562
7916, 34296455, 34296983, 1.58960402, 1.39753532, 5.00000000, 0.75002146
7917, 34297455, 34297979, 1.59532690, 1.40249443, 5.03174591, 0.51924562
7918, 34298455, 34298979, 1.60101235, 1.40783596, 5.03174591, 0.51924562
7919, 34299455, 34299981, 1.60665929, 1.41279507, 5.06349182, 0.51924562
7920, 34300455, 34300983, 1.61226690, 1.41851711, 5.09523773, 0.63463354
7921, 34301455, 34301981, 1.61783528, 1.42347622, 4.96825409, 0.86540931
7922, 34302455, 34302986, 1.62336266, 1.42843533, 5.28571320, 0.51924562
7923, 34303455, 34303992, 1.62884593, 1.43377590, 5.19047546, 0.28846979
7924, 34304455, 34304980, 1.63428366, 1.43911648, 5.19047546, 0.63463354
7925, 34305455, 34305982, 1.63967443, 1.44445705, 5.22222137, 0.51924562
7926, 34306455, 34306980, 1.64501667, 1.44941616, 5.22222137, 0.86540931
7927, 34307455, 34307979, 1.65030849, 1.45513821, 5.22222137, 0.51924562
7928, 34308455, 34308979, 1.65554762, 1.46047878, 5.25396729, 0.40385768
7929, 34309455, 34309981, 1.66073191, 1.46543789, 5.25396729, 0.28846979
7930, 34310455, 34310985, 1.66586113, 1.47154236, 5.09523773, 0.40385768
7931, 34311455, 34311989, 1.67093468, 1.47688293, 5.25396729, 0.40385768
7932, 34312455, 34312980, 1.67595136, 1.48222351, 5.28571320, 0.63463354
7933, 34313455, 34313978, 1.68091059, 1.48756409, 5.31745911, 0.86540931
7934, 34314455, 34314980, 1.68581223, 1.49290466, 5.38095093, 0.51924562
7935, 34315455, 34315988, 1.69065642, 1.49862671, 5.38095093, 0.40385768
7936, 34316455, 34316986, 1.69544315, 1.50358582, 5.38095093, 0.63463354
7937, 34317455, 34317978, 1.70017266, 1.50930786, 5.38095093, 0.40385768
7938, 34318455, 34318987, 1.70484519, 1.51464844, 5.38095093, 0.40385768
7939, 34319455, 34319987, 1.70946014, 1.51960754, 5.34920502, 0.86540931
7940, 34320455, 34320983, 1.71401715, 1.52532959, 5.38095093, 0.51924562
