Frame,20230915_CodeDev_KNHS_34A:T1,20230915_CodeDev_KNHS_34A:T10,20230915_CodeDev_KNHS_34A:Sternum,20230915_CodeDev_KNHS_34A:Rnip,20230915_CodeDev_KNHS_34A:Lnip
Frame,T1X,T1Y,T1Z,T10X,T10Y,T10Z,SternumX,SternumY,SternumZ,RnipX,RnipY,RnipZ,LnipX,LnipY,LnipZ
62,867.1818,253.0491,1447.197,847.0496,251.4002,1182.484,988.7291,256.7808,1396.302,1047.885,162.6281,1221.005,1043.645,362.5319,1227.627
63,867.1653,253.0623,1447.198,847.0294,251.3957,1182.495,988.7628,256.8093,1396.343,1047.9,162.6751,1221.01,1043.87,362.6373,1227.636
64,867.1642,253.0943,1447.205,847.0289,251.4208,1182.484,988.7292,256.9078,1396.341,1047.919,162.756,1221.014,1043.89,362.7025,1227.654
65,867.1933,253.1281,1447.214,847.0117,251.4334,1182.525,988.7714,256.9519,1396.351,1047.936,162.821,1221.022,1043.893,362.7437,1227.673
66,867.2034,253.1466,1447.217,847.0063,251.4657,1182.538,988.7897,256.982,1396.367,1047.944,162.8398,1221.03,1043.915,362.7598,1227.689
67,867.1941,253.1345,1447.237,847.0024,251.4759,1182.564,988.7712,256.9542,1396.372,1047.936,162.8326,1221.022,1043.917,362.7588,1227.698
68,867.1882,253.148,1447.249,847.0071,251.5092,1182.606,988.7662,256.9015,1396.391,1047.908,162.821,1221.009,1043.939,362.7725,1227.697
69,867.1557,253.1425,1447.276,847.0008,251.5668,1182.634,988.8483,256.9351,1396.468,1047.877,162.7938,1221.001,1043.922,362.7451,1227.708
70,867.1795,253.168,1447.256,847.0076,251.6573,1182.649,988.8621,256.908,1396.493,1047.855,162.784,1220.981,1043.921,362.7538,1227.705
71,867.1683,253.1908,1447.254,847.0171,251.6952,1182.635,988.6865,256.8436,1396.379,1047.849,162.7802,1220.981,1043.926,362.7504,1227.701
72,867.1403,253.1965,1447.249,846.9844,251.7081,1182.624,988.6558,256.8595,1396.356,1047.829,162.8025,1220.961,1043.926,362.767,1227.69
73,867.123,253.2024,1447.236,846.9667,251.7462,1182.616,988.6553,256.87,1396.362,1047.831,162.8216,1220.947,1043.927,362.7888,1227.689
74,867.1009,253.2163,1447.23,846.9322,251.7734,1182.596,988.6899,256.9135,1396.391,1047.81,162.8648,1220.947,1043.923,362.82,1227.709
75,867.0945,253.2274,1447.238,846.9495,251.7841,1182.582,988.6587,256.9595,1396.387,1047.815,162.9148,1220.959,1043.944,362.8739,1227.726
